count\tpair_ref//hyp
(reference//hypothesis)
  17 missus//misses
   7 boolooroo//booleroo
   6 tis//notis
   6 this//the
   5 wylder//wilder
   5 margolotte//margolot
   4 warrenton//warranton
   4 unc//unk
   4 stuteley//stutley
   4 poyser//poiser
   4 n//captain
   4 montalais//montalay
   4 jago//yago
   4 anyone//1
   3 valliere//lavalier
   3 towards//toward
   3 totty//toddy
   3 tabu//taboo
   3 silvia//sylvia
   3 round//around
   3 rodolfo//rudolfo
   3 platonists//neoplatonists
   3 o//oh
   3 neverbend//neverben
   3 man//men
   3 madam//madame
   3 kaffar//kafir
   3 hollan//holland
   3 ghisizzle//sizzle
   3 everyone//1
   3 estafania//estefania
   3 cresswell//creswell
   3 boolooroo//boolaroo
   2 zoof//zuf
   2 you//ye
   2 yard//courtyard
   2 watry//watery
   2 was//is
   2 warrenton//warrington
   2 tonight//night
   2 to//do
   2 thorkel//torkoal
   2 thing//anything
   2 thel//thou
   2 their//the
   2 their//are
   2 that//the
   2 that//it
   2 sometime//time
   2 read//red
   2 raoul//rao
   2 radie//rady
   2 poyser//poisser
   2 munny//money
   2 mornin//morning
   2 marivaux//marevaux
   2 lecompte//comte
   2 larkspur//larksburg
   2 in//and
   2 has//had
   2 hallo//hello
   2 gamewell//gainwell
   2 forever//ever
   2 dona//donna
   2 dobryna//dobrina
   2 do//d
   2 dedalus//daedalus
   2 de//the
   2 creighton//crichton
   2 chelford//shelford
   2 chaise//chase
   2 cetera//etcetera
   2 carey//carrie
   2 bragelonne//bragolon
   2 boolooroo//bouleroo
   2 another//other
   2 andella//andela
   2 1//everyone
   1 zoof//zouf
   1 your//or
   1 yearning//yearnin
   1 would//were
   1 would//steeled
   1 would//removed
   1 would//rebuked
   1 would//poisoned
   1 would//pierced
   1 would//o
   1 would//linked
   1 would//impressed
   1 would//emerged
   1 worst//worse
   1 worse//worst
   1 woodbegirt//begirt
   1 woman//women
   1 wolf//werewolf
   1 withes//widths
   1 with//which
   1 wide//worldwide
   1 wholly//holy
   1 whittaws//widows
   1 whittaws//widdaws
   1 whittawd//widowed
   1 whittaw//whitdaw
   1 whatever//whatsoever
   1 what//and
   1 west//northwest
   1 were//are
   1 welcomed//welcome
   1 we//maybe
   1 way//passageway
   1 watermill//mill
   1 water//rosewater
   1 van//anne
   1 valleyed//vallied
   1 upon//on
   1 unwarily//warily
   1 underground//ground
   1 unclenched//clenched
   1 ud//had
   1 twasn//notwasn
   1 tuppeny//tupany
   1 treddleston//treadleston
   1 treble//trouble
   1 towne//town
   1 tould//d
   1 toothed//sawtoothed
   1 tooms//toomes
   1 toilette//toilet
   1 today//day
   1 to//toed
   1 to//through
   1 to//of
   1 to//o
   1 to//2
   1 tis//no
   1 tintoret//tinteret
   1 tintint//tintent
   1 time//sometime
   1 timascheff//timoshef
   1 thro//through
   1 thrilled//would
   1 thorleif//torleaf
   1 thorkel//torquell
   1 this//spilly
   1 this//its
   1 them//him
   1 thee//he
   1 the//think
   1 the//their
   1 than//that
   1 tenability//tunability
   1 technique//think
   1 tea//t
   1 tail//tale
   1 t//d
   1 swoons//swoon
   1 sweep//swept
   1 swan//swaying
   1 suspicions//suspicion
   1 survive//survived
   1 surfaces//services
   1 surface//undersurface
   1 supper//suburb
   1 summers//is
   1 strength//strengths
   1 step//doorstep
   1 starlit//starlet
   1 stairs//upstairs
   1 stairs//downstairs
   1 stage//steed
   1 southey//sothy
   1 sou//soux
   1 sorrel//searle
   1 solon//sullen
