fileName\ttype\treference\thypothesis
8455-210777-0063.flac	merge	to day	today
1580-141084-0007.flac	merge	to morrow	tomorrow
2830-3980-0009.flac	merge	et cetera	etcetera
1995-1826-0025.flac	merge	some time	sometime
1580-141084-0012.flac	merge	foul mouthed	foulmouthed
7176-92135-0026.flac	merge	boar hound	boarhound
4446-2273-0006.flac	merge	villad este	villadeste
1580-141083-0043.flac	merge	mc laren	mclaren
2830-3979-0012.flac	split	forever	for ever
4446-2275-0045.flac	split	tonight	to night
61-70968-0034.flac	split	gamewell	game well
908-157963-0007.flac	merge	new born	newborn
1188-133604-0008.flac	merge	cock robin	cockrobin
4970-29095-0017.flac	merge	sight seers	sightseers
672-122797-0063.flac	merge	good bye	goodbye
4992-41797-0009.flac	merge	ph d	phd
4992-41797-0009.flac	merge	text books	textbooks
6930-76324-0024.flac	merge	candle light	candlelight
4992-41797-0001.flac	merge	what not	whatnot
1284-1181-0020.flac	split	chatterbox	chatter box
8555-284447-0000.flac	merge	down stairs	downstairs
8555-284447-0000.flac	split	sailorman	sailor man
5683-32866-0004.flac	merge	general ship	generalship
672-122797-0007.flac	merge	wood cutters	woodcutters
121-121726-0000.flac	merge	love making	lovemaking
121-121726-0010.flac	split	housecleaning	house cleaning
8455-210777-0005.flac	merge	rose water	rosewater
2300-131720-0037.flac	split	reweighed	re weighed
4077-13751-0018.flac	merge	school boys	schoolboys
2961-960-0004.flac	merge	neo platonists	neoplatonists
5639-40744-0006.flac	merge	heart broken	heartbroken
1089-134691-0017.flac	split	woodbegirt	wood begirt
121-123852-0000.flac	split	sometime	some time
7176-88083-0002.flac	merge	saw toothed	sawtoothed
8555-292519-0005.flac	split	forever	for ever
5142-33396-0051.flac	split	sometime	some time
1089-134691-0025.flac	split	hazewrapped	haze wrapped
7021-79740-0013.flac	merge	any thing	anything
8463-294825-0007.flac	merge	tag lines	taglines
1089-134691-0023.flac	merge	sword like	swordlike
672-122797-0023.flac	split	anymore	any more
8455-210777-0001.flac	merge	bar keeper	barkeeper
237-134493-0002.flac	merge	checker board	checkerboard
61-70970-0038.flac	merge	passage way	passageway
8463-294828-0001.flac	split	northwest	north west
8463-294828-0031.flac	split	afterdeck	after deck
1188-133604-0041.flac	split	watermill	water mill
1995-1826-0013.flac	split	today	to day
2300-131720-0011.flac	merge	farm house	farmhouse
4507-16021-0021.flac	split	mealyback	mealy back
5105-28241-0017.flac	split	awhile	a while
672-122797-0071.flac	merge	court yard	courtyard
2300-131720-0020.flac	merge	horse power	horsepower
7021-79730-0009.flac	merge	can not	cannot
8455-210777-0061.flac	merge	north west	northwest
4992-41806-0000.flac	merge	up hill	uphill
6930-75918-0019.flac	split	moonbeams	moon beams
7021-79730-0003.flac	merge	door step	doorstep
672-122797-0025.flac	merge	court yard	courtyard
1089-134691-0021.flac	split	horseplay	horse play
8224-274381-0017.flac	merge	any thing	anything
5639-40744-0035.flac	merge	for ever	forever
2961-960-0002.flac	merge	neo platonists	neoplatonists
3575-170457-0037.flac	split	hotbed	hot bed
1995-1836-0004.flac	split	tonight	to night
7729-102255-0009.flac	merge	non compliance	noncompliance
237-134500-0031.flac	merge	table cloth	tablecloth
2961-960-0006.flac	merge	neo platonists	neoplatonists
8455-210777-0051.flac	merge	world wide	worldwide
2094-142345-0000.flac	merge	door place	doorplace
260-123288-0015.flac	merge	under surface	undersurface
3729-6852-0035.flac	merge	et cetera	etcetera
4507-16021-0032.flac	split	casemates	case mates
8463-287645-0007.flac	merge	up stairs	upstairs
4970-29093-0006.flac	merge	ante room	anteroom
