reference\tweight
missus	4.89
boolooroo	4.56
would	4.48
tis	4.08
poyser	3.95
warrenton	3.95
jago	3.79
kaffar	3.79
margolotte	3.79
wylder	3.79
anyone	3.61
charente	3.61
emil	3.61
fitzooth	3.61
ghisizzle	3.61
montalais	3.61
stuteley	3.61
unc	3.61
cresswell	3.39
estafania	3.39
everyone	3.39
gamewell	3.39
ghip	3.39
hollan	3.39
madam	3.39
man	3.39
neo platonists	3.39
neverbend	3.39
rodolfo	3.39
round	3.39
silvia	3.39
tabu	3.39
thorkel	3.39
totty	3.39
towards	3.39
valliere	3.39
zoof	3.39
andella	3.10
another	3.10
any thing	3.10
athenais	3.10
battleaxe	3.10
bragelonne	3.10
britannula	3.10
carey	3.10
chaise	3.10
chelford	3.10
chingachgook	3.10
court yard	3.10
creighton	3.10
dedalus	3.10
dobryna	3.10
dona	3.10
et cetera	3.10
fete	3.10
forever	3.10
hallo	3.10
larkspur	3.10
lecompte	3.10
leocadia	3.10
marivaux	3.10
mornin	3.10
munny	3.10
phronsie	3.10
radie	3.10
raoul	3.10
read	3.10
soames	3.10
sometime	3.10
thel	3.10
tonight	3.10
watry	3.10
whittaws	3.10
abbe	2.69
abolitionists	2.69
acknowledgement	2.69
adona	2.69
affect	2.69
affected	2.69
afterdeck	2.69
afterwards	2.69
aignan	2.69
allers	2.69
alluvion	2.69
anders	2.69
angor	2.69
answerd	2.69
ante room	2.69
anymore	2.69
apposition	2.69
ardle	2.69
argyle	2.69
aronnax	2.69
arrangement	2.69
ascendency	2.69
ask	2.69
atchison	2.69
atholemen	2.69
attendants	2.69
awhile	2.69
aye	2.69
babirusa	2.69
badauderie	2.69
bains	2.69
bar keeper	2.69
beebe	2.69
beeder	2.69
befal	2.69
before	2.69
beg	2.69
bein	2.69
billygoat	2.69
blasts	2.69
ble	2.69
blessings	2.69
blueskins	2.69
boar hound	2.69
bogus	2.69
bolls	2.69
bookkeeper	2.69
brake	2.69
breakfas	2.69
britannulists	2.69
brontes	2.69
bul	2.69
bunnit	2.69
burne	2.69
but	2.69
can	2.69
can not	2.69
candle light	2.69
canvass	2.69
casemates	2.69
cast	2.69
casts	2.69
cavern	2.69
ceasd	2.69
cendenaries	2.69
cetera	2.69
chatterbox	2.69
checker board	2.69
cheroot	2.69
chiaroscurist	2.69
chord	2.69
christain	2.69
civet	2.69
clause	2.69
clew	2.69
cock robin	2.69
collecting	2.69
colorist	2.69
colorists	2.69
composser	2.69
condense	2.69
condition	2.69
conquerin	2.69
conseil	2.69
contained	2.69
costs	2.69
cotton	2.69
could	2.69
countenance	2.69
courant	2.69
crasweller	2.69
craswellers	2.69
cresswells	2.69
curbstone	2.69
curved	2.69
cyn	2.69
dedalos	2.69
degree	2.69
deliberative	2.69
delicate	2.69
dias	2.69
dispatch	2.69
dissent	2.69
dissented	2.69
districts	2.69
divisions	2.69
dobrynadid	2.69
donnithorne	2.69
door place	2.69
door step	2.69
dorothy	2.69
doughnuts	2.69
doves	2.69
down stairs	2.69
dress	2.69
dripping	2.69
duerer	2.69
dyin	2.69
dykes	2.69
easterly	2.69
elcho	2.69
elmo	2.69
elsinore	2.69
emigrant	2.69
enquire	2.69
enquired	2.69
enquiries	2.69
enthralment	2.69
escheated	2.69
especial	2.69
esprit	2.69
evenin	2.69
ever	2.69
exist	2.69
faction	2.69
farm house	2.69
farthest	2.69
fever	2.69
for ever	2.69
foreseeing	2.69
foul mouthed	2.69
full	2.69
fulness	2.69
gayly	2.69
general ship	2.69
gentlemen	2.69
giaours	2.69
gier	2.69
girard	2.69
give	2.69
goat	2.69
goobers	2.69
good bye	2.69
government	2.69
gradated	2.69
grand	2.69
greeing	2.69
griefs	2.69
grim	2.69
guests	2.69
hakon	2.69
halloa	2.69
ham	2.69
hamlet	2.69
hangings	2.69
hanna	2.69
happen	2.69
harald	2.69
harangue	2.69
harkened	2.69
harts	2.69
hawtrey	2.69
hazewrapped	2.69
heart broken	2.69
helmsman	2.69
hen	2.69
heracleitus	2.69
here	2.69
horace	2.69
horse power	2.69
horseplay	2.69
host	2.69
hotbed	2.69
housecleaning	2.69
hussy	2.69
hydras	2.69
ichthyosaurus	2.69
ideal	2.69
ignoble	2.69
ike	2.69
impearled	2.69
impresses	2.69
inaction	2.69
inclosed	2.69
infants	2.69
intents	2.69
intrenchment	2.69
irwine	2.69
ist	2.69
its	2.69
jail	2.69
jasper	2.69
jus	2.69
keogh	2.69
kind	2.69
kneed	2.69
lake	2.69
lallie	2.69
lambent	2.69
lanthorn	2.69
learned	2.69
lefrank	2.69
leocadi	2.69
less	2.69
light	2.69
lilburn	2.69
lilly	2.69
lillys	2.69
lindens	2.69
line	2.69
liter	2.69
louis	2.69
love making	2.69
luis	2.69
luke	2.69
manicamp	2.69
manifested	2.69
manservant	2.69
marianne	2.69
mc laren	2.69
meadowcroft	2.69
mealyback	2.69
meet	2.69
men	2.69
merchiston	2.69
merganser	2.69
mersey	2.69
messrs	2.69
militated	2.69
mingoes	2.69
mists	2.69
mohammed	2.69
mombi	2.69
monceux	2.69
montfichet	2.69
montrose	2.69
moonbeams	2.69
mothers	2.69
mounted	2.69
mummeries	2.69
mussulmans	2.69
nares	2.69
narwhale	2.69
natty	2.69
nearer	2.69
new born	2.69
nobler	2.69
non compliance	2.69
nor	2.69
north west	2.69
northwards	2.69
northwest	2.69
nothin	2.69
nunkie	2.69
oaks	2.69
occupants	2.69
officers	2.69
olaf	2.69
origin	2.69
ottley	2.69
oughter	2.69
ozma	2.69
paroquet	2.69
paschal	2.69
passage way	2.69
pasteboard	2.69
patients	2.69
pease	2.69
pegre	2.69
pegrenne	2.69
pet	2.69
ph d	2.69
pick	2.69
pipt	2.69
plaits	2.69
pleasance	2.69
pond	2.69
poos	2.69
popham	2.69
portes	2.69
precede	2.69
precieuses	2.69
prevent	2.69
proselyting	2.69
prynne	2.69
purposed	2.69
puttin	2.69
quinson	2.69
ranged	2.69
rate	2.69
redman	2.69
reeder	2.69
reenforcements	2.69
remained	2.69
remark	2.69
remember	2.69
repartees	2.69
reweighed	2.69
rhone	2.69
roerer	2.69
roi	2.69
rose water	2.69
rufus	2.69
